item,pip
http://www.wikidata.org/entity/Q107386507,ara
http://www.wikidata.org/entity/Q107380951,asciitree
http://www.wikidata.org/entity/Q107387070,aspy.yaml
http://www.wikidata.org/entity/Q107385768,assertpy
http://www.wikidata.org/entity/Q107382401,astroplan
http://www.wikidata.org/entity/Q107380693,async-generator
http://www.wikidata.org/entity/Q107382154,atari-py
http://www.wikidata.org/entity/Q107383454,atlasclient
http://www.wikidata.org/entity/Q107386464,atomos
http://www.wikidata.org/entity/Q107381199,attrs
http://www.wikidata.org/entity/Q107382172,audioread
http://www.wikidata.org/entity/Q107383249,authlib
http://www.wikidata.org/entity/Q107386316,autogluon.core
http://www.wikidata.org/entity/Q107385610,autosemver
http://www.wikidata.org/entity/Q107383948,avro-gen
http://www.wikidata.org/entity/Q107381777,avro-python3
http://www.wikidata.org/entity/Q107384516,awacs
http://www.wikidata.org/entity/Q107385673,aws-cdk-aws-autoscaling-hooktargets
http://www.wikidata.org/entity/Q107385350,aws-cdk-aws-certificatemanager
http://www.wikidata.org/entity/Q107385353,aws-cdk-aws-cloudformation
http://www.wikidata.org/entity/Q107384839,aws-cdk-aws-cloudwatch
http://www.wikidata.org/entity/Q107385598,aws-cdk-aws-ecr-assets
http://www.wikidata.org/entity/Q107386194,aws-cdk-aws-efs
http://www.wikidata.org/entity/Q107384761,aws-cdk-aws-iam
http://www.wikidata.org/entity/Q107384840,aws-cdk-aws-kms
http://www.wikidata.org/entity/Q107385731,aws-cdk-aws-stepfunctions
http://www.wikidata.org/entity/Q107381909,aws-cdk.aws-amplify
http://www.wikidata.org/entity/Q107381920,aws-cdk.aws-appflow
http://www.wikidata.org/entity/Q107381914,aws-cdk.aws-certificatemanager
http://www.wikidata.org/entity/Q107381957,aws-cdk.aws-codestar
http://www.wikidata.org/entity/Q107381915,aws-cdk.aws-cognito
http://www.wikidata.org/entity/Q107381896,aws-cdk.aws-ecr
http://www.wikidata.org/entity/Q107381978,aws-cdk.aws-emrcontainers
http://www.wikidata.org/entity/Q107381979,aws-cdk.aws-eventschemas
http://www.wikidata.org/entity/Q107381986,aws-cdk.aws-glue
http://www.wikidata.org/entity/Q107381992,aws-cdk.aws-imagebuilder
http://www.wikidata.org/entity/Q107381998,aws-cdk.aws-iotevents
http://www.wikidata.org/entity/Q107382001,aws-cdk.aws-iotthingsgraph
http://www.wikidata.org/entity/Q107382006,aws-cdk.aws-kinesisfirehose
http://www.wikidata.org/entity/Q107381893,aws-cdk.aws-logs
http://www.wikidata.org/entity/Q107382010,aws-cdk.aws-lookoutmetrics
http://www.wikidata.org/entity/Q107382016,aws-cdk.aws-medialive
http://www.wikidata.org/entity/Q107382024,aws-cdk.aws-networkfirewall
http://www.wikidata.org/entity/Q107382025,aws-cdk.aws-networkmanager
http://www.wikidata.org/entity/Q107382028,aws-cdk.aws-opsworkscm
http://www.wikidata.org/entity/Q107382036,aws-cdk.aws-robomaker
http://www.wikidata.org/entity/Q107382040,aws-cdk.aws-s3outposts
http://www.wikidata.org/entity/Q107381938,aws-cdk.aws-sns-subscriptions
http://www.wikidata.org/entity/Q107382054,aws-cdk.aws-timestream
http://www.wikidata.org/entity/Q107382060,aws-cdk.aws-wafregional
http://www.wikidata.org/entity/Q107384085,aws-encryption-sdk
http://www.wikidata.org/entity/Q107382329,ax-platform
http://www.wikidata.org/entity/Q107383227,azure-cosmosdb-nspkg
http://www.wikidata.org/entity/Q107383413,azure-eventhub
http://www.wikidata.org/entity/Q107386811,azure-eventhubs-client
http://www.wikidata.org/entity/Q107383197,azure-keyvault-nspkg
http://www.wikidata.org/entity/Q107383199,azure-keyvault-secrets
http://www.wikidata.org/entity/Q107383323,azure-mgmt-devtestlabs
http://www.wikidata.org/entity/Q107383760,azure-mgmt-hanaonazure
http://www.wikidata.org/entity/Q107383282,azure-mgmt-rdbms
http://www.wikidata.org/entity/Q107383725,azure-mgmt-sqlvirtualmachine
http://www.wikidata.org/entity/Q107381714,azure-nspkg
http://www.wikidata.org/entity/Q107383309,azure-storage
http://www.wikidata.org/entity/Q107383128,azure-storage-common
http://www.wikidata.org/entity/Q107383729,azure-synapse-accesscontrol
http://www.wikidata.org/entity/Q107383732,azure-synapse-spark
http://www.wikidata.org/entity/Q107383878,azureml-accel-models
http://www.wikidata.org/entity/Q107383828,azureml-pipeline-core
http://www.wikidata.org/entity/Q107380628,backports.functools-lru-cache
http://www.wikidata.org/entity/Q107380731,backports.tempfile
http://www.wikidata.org/entity/Q107385305,baselines
http://www.wikidata.org/entity/Q107386838,beagle
http://www.wikidata.org/entity/Q107386062,binary
http://www.wikidata.org/entity/Q107384844,bingads
http://www.wikidata.org/entity/Q107385686,bitstruct
http://www.wikidata.org/entity/Q107381693,blackdoc
http://www.wikidata.org/entity/Q107381140,blurb
http://www.wikidata.org/entity/Q107386928,boolean-py
http://www.wikidata.org/entity/Q107383744,boxsdk
http://www.wikidata.org/entity/Q107387104,bracex
http://www.wikidata.org/entity/Q107384269,braintree
http://www.wikidata.org/entity/Q107380722,bumpversion
http://www.wikidata.org/entity/Q107386409,business-rules
http://www.wikidata.org/entity/Q107383451,cachelib
http://www.wikidata.org/entity/Q107382105,cachy
http://www.wikidata.org/entity/Q107386880,caniusepython3
http://www.wikidata.org/entity/Q107380940,cftime
http://www.wikidata.org/entity/Q107380512,chardet
http://www.wikidata.org/entity/Q107384696,chart-studio
http://www.wikidata.org/entity/Q107384622,circuitbreaker
http://www.wikidata.org/entity/Q107386741,ciscoconfparse
http://www.wikidata.org/entity/Q107385682,cloudscraper
http://www.wikidata.org/entity/Q107386884,code-annotations
http://www.wikidata.org/entity/Q107385794,colander
http://www.wikidata.org/entity/Q107386058,colcon-lcov-result
http://www.wikidata.org/entity/Q107385735,colcon-recursive-crawl
http://www.wikidata.org/entity/Q107382366,colorful
http://www.wikidata.org/entity/Q107384044,colorlover
http://www.wikidata.org/entity/Q107386533,confi
http://www.wikidata.org/entity/Q107383926,connexion
http://www.wikidata.org/entity/Q107381821,crc32c
http://www.wikidata.org/entity/Q107385198,createsend
http://www.wikidata.org/entity/Q107386658,crochet
http://www.wikidata.org/entity/Q107383046,csvkit
http://www.wikidata.org/entity/Q107385693,cursor
http://www.wikidata.org/entity/Q107386241,cwltool
http://www.wikidata.org/entity/Q107386509,cybox
http://www.wikidata.org/entity/Q107380622,cython-test-exception-raiser
http://www.wikidata.org/entity/Q107387075,daemonize
http://www.wikidata.org/entity/Q107384064,dash-core-components
http://www.wikidata.org/entity/Q107385223,databricks-pypi
http://www.wikidata.org/entity/Q107384141,databricks-pypi2
http://www.wikidata.org/entity/Q107386063,datadog-checks-base
http://www.wikidata.org/entity/Q107386621,dbnd-docker
http://www.wikidata.org/entity/Q107386628,dbnd-qubole
http://www.wikidata.org/entity/Q107386629,dbnd-redshift
http://www.wikidata.org/entity/Q107385192,dbt-postgres
http://www.wikidata.org/entity/Q107380676,decorator
http://www.wikidata.org/entity/Q107386723,df2gspread
http://www.wikidata.org/entity/Q107381047,dictpath
http://www.wikidata.org/entity/Q107386076,dj-static
http://www.wikidata.org/entity/Q107385946,django-annoying
http://www.wikidata.org/entity/Q107383757,django-appconf
http://www.wikidata.org/entity/Q107384479,django-axes
http://www.wikidata.org/entity/Q107384126,django-celery-results
http://www.wikidata.org/entity/Q107386640,django-cleanup
http://www.wikidata.org/entity/Q107383400,django-debug-toolbar
http://www.wikidata.org/entity/Q107386947,django-dynamic-fixture
http://www.wikidata.org/entity/Q107383260,django-extensions
http://www.wikidata.org/entity/Q107385454,django-heroku
http://www.wikidata.org/entity/Q107386913,django-htmlmin
http://www.wikidata.org/entity/Q107386037,django-imagekit
http://www.wikidata.org/entity/Q107387206,django-impersonate
http://www.wikidata.org/entity/Q107386732,django-js-reverse
http://www.wikidata.org/entity/Q107384392,django-mysql
http://www.wikidata.org/entity/Q107384100,django-phonenumber-field
