item,itemLabel
http://www.wikidata.org/entity/Q341,free software
http://www.wikidata.org/entity/Q485,computer virus
http://www.wikidata.org/entity/Q6368,web browser
http://www.wikidata.org/entity/Q7889,video game
http://www.wikidata.org/entity/Q9135,operating system
http://www.wikidata.org/entity/Q11288,web server
http://www.wikidata.org/entity/Q13741,integrated development environment
http://www.wikidata.org/entity/Q14001,malware
http://www.wikidata.org/entity/Q14644,spyware
http://www.wikidata.org/entity/Q14645,rootkit
http://www.wikidata.org/entity/Q14663,Unix shell
http://www.wikidata.org/entity/Q18109,operating system shell
http://www.wikidata.org/entity/Q45842,web crawler
http://www.wikidata.org/entity/Q47506,compiler
http://www.wikidata.org/entity/Q54277,word processor
http://www.wikidata.org/entity/Q54366,packet analyzer
http://www.wikidata.org/entity/Q62505,physics engine
http://www.wikidata.org/entity/Q64601,scorewriter
http://www.wikidata.org/entity/Q75050,genealogy software
http://www.wikidata.org/entity/Q80998,firewall
http://www.wikidata.org/entity/Q93249,antivirus software
http://www.wikidata.org/entity/Q93661,integrated library system
http://www.wikidata.org/entity/Q104851,firmware
http://www.wikidata.org/entity/Q116112,bulk email software
http://www.wikidata.org/entity/Q131093,content management system
http://www.wikidata.org/entity/Q131212,text editor
http://www.wikidata.org/entity/Q137742,autoresponder
http://www.wikidata.org/entity/Q146768,middleware
http://www.wikidata.org/entity/Q164274,spell checker
http://www.wikidata.org/entity/Q166142,application
http://www.wikidata.org/entity/Q167035,project management software
http://www.wikidata.org/entity/Q176165,database management system
http://www.wikidata.org/entity/Q183065,interpreter
http://www.wikidata.org/entity/Q184748,codec
http://www.wikidata.org/entity/Q184900,line editor
http://www.wikidata.org/entity/Q188860,software library
http://www.wikidata.org/entity/Q189210,web application
http://www.wikidata.org/entity/Q189722,Emacs
http://www.wikidata.org/entity/Q191865,Internet bot
http://www.wikidata.org/entity/Q193231,debugger
http://www.wikidata.org/entity/Q193424,web service
http://www.wikidata.org/entity/Q193564,game engine
http://www.wikidata.org/entity/Q202871,emulator
http://www.wikidata.org/entity/Q205020,desktop environment
